          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
        graalvm-ce;               random_page;         default;                  5;        81.300;  Power (Watt)
     azul-prime-vm;                    linear;         default;                  1;        14.590;  Power (Watt)
     azul-prime-vm;                    linear;         default;                  2;        13.190;  Power (Watt)
     azul-prime-vm;                    linear;         default;                  3;        15.860;  Power (Watt)
     azul-prime-vm;                    linear;         default;                  4;       107.920;  Power (Watt)
     azul-prime-vm;                    linear;         default;                  5;       109.750;  Power (Watt)
     azul-prime-vm;                    linear;         default;                  6;       103.760;  Power (Watt)
     azul-prime-vm;                    linear;         default;                  7;       108.800;  Power (Watt)
     azul-prime-vm;                    linear;         default;                  8;       104.950;  Power (Watt)
     azul-prime-vm;                    linear;         default;                  9;       102.470;  Power (Watt)
