Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU x86_pk   SEN2   SEN3 TCPU_P iwlwif acpitz INT340
13:03:05   4.2   0.0   0.0  95.8   0.0    2    526    673    0    0    0  49.27    0.00  14.96  10.27  24.05  67.05  67.00  40.05  40.05  66.00  33.00  67.00  20.00
13:03:06   4.2   0.0   0.0  95.8   0.0    2    632    733    0    0    0  49.35    0.00  14.96  10.27  24.11  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:07   4.2   0.0   0.0  95.8   0.0    2    560    700    0    0    0  49.30    0.00  14.96  10.27  24.06  66.05  66.00  40.05  40.05  66.00  33.00  67.00  20.00
13:03:08   4.2   0.0   0.0  95.8   0.0    2    602    718    0    0    0  49.35    0.00  14.97  10.28  24.09  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:09   4.2   0.0   0.0  95.8   0.0    2    520    675    0    0    0  49.25    0.00  14.94  10.24  24.07  66.05  66.00  40.05  40.05  66.00  33.00  68.00  20.00
13:03:10   4.2   0.0   0.1  95.7   0.0    2    650    748    0    0    0  49.44    0.00  14.98  10.28  24.19  67.05  67.00  40.05  40.05  67.00  33.00  68.00  20.00
13:03:11   4.2   0.0   0.0  95.8   0.0    2    574    699    0    0    0  49.29    0.00  14.95  10.26  24.08  67.05  67.00  40.05  40.05  67.00  33.00  68.00  20.00
13:03:12   4.2   0.0   0.0  95.7   0.0    2    637    727    0    0    0  49.38    0.00  14.96  10.27  24.15  66.05  66.00  40.05  40.05  66.00  33.00  68.00  20.00
13:03:13   4.2   0.0   0.0  95.8   0.0    2    540    692    0    0    0  49.27    0.00  14.95  10.27  24.06  67.05  67.00  40.05  40.05  67.00  33.00  67.00  20.00
13:03:14   4.2   0.0   0.0  95.8   0.0    2    626    699    0    0    0  49.28    0.00  14.93  10.26  24.09  66.05  66.00  40.05  40.05  66.00  33.00  67.00  20.00
