          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
      native-image;             override_fist;         default;                 26;       100.860;  Power (Watt)
      native-image;             override_fist;         default;                 27;       100.780;  Power (Watt)
      native-image;             override_fist;         default;                 28;       100.510;  Power (Watt)
      native-image;             override_fist;         default;                 29;       100.830;  Power (Watt)
      native-image;             override_fist;         default;                 30;       100.780;  Power (Watt)
      native-image;             override_fist;         default;                 31;       100.840;  Power (Watt)
      native-image;             override_fist;         default;                 32;        96.060;  Power (Watt)
      native-image;             override_fist;         default;                 33;        96.380;  Power (Watt)
      native-image;             override_fist;         default;                 34;        86.090;  Power (Watt)
      native-image;             override_fist;         default;                 35;        66.490;  Power (Watt)
openjdk-hotspot-vm;                     const;         default;                  1;         4.770;  Power (Watt)
openjdk-hotspot-vm;                     const;         default;                  2;         4.340;  Power (Watt)
openjdk-hotspot-vm;                     const;         default;                  3;         2.810;  Power (Watt)
openjdk-hotspot-vm;                     const;         default;                  4;       106.530;  Power (Watt)
openjdk-hotspot-vm;                       new;         default;                  1;         4.330;  Power (Watt)
openjdk-hotspot-vm;                       new;         default;                  2;         1.560;  Power (Watt)
openjdk-hotspot-vm;                       new;         default;                  3;         2.980;  Power (Watt)
openjdk-hotspot-vm;                       new;         default;                  4;        98.080;  Power (Watt)
openjdk-hotspot-vm;                       new;         default;                  5;        91.410;  Power (Watt)
     azul-prime-vm;                     const;         default;                  1;         4.840;  Power (Watt)
     azul-prime-vm;                     const;         default;                  2;         1.460;  Power (Watt)
     azul-prime-vm;                     const;         default;                  3;         2.810;  Power (Watt)
     azul-prime-vm;                     const;         default;                  4;       104.320;  Power (Watt)
     azul-prime-vm;                     const;         default;                  5;       105.090;  Power (Watt)
     azul-prime-vm;                     const;         default;                  6;       101.050;  Power (Watt)
     azul-prime-vm;                     const;         default;                  7;       103.930;  Power (Watt)
     azul-prime-vm;                     const;         default;                  8;       102.040;  Power (Watt)
     azul-prime-vm;                     const;         default;                  9;        82.890;  Power (Watt)
 eclipse-openj9-vm;                       new;         default;                  1;         5.430;  Power (Watt)
 eclipse-openj9-vm;                       new;         default;                  2;         5.920;  Power (Watt)
 eclipse-openj9-vm;                       new;         default;                  3;         3.480;  Power (Watt)
 eclipse-openj9-vm;                       new;         default;                  4;        45.350;  Power (Watt)
 eclipse-openj9-vm;                       new;         default;                  5;        60.050;  Power (Watt)
 eclipse-openj9-vm;                       new;         default;                  6;        62.970;  Power (Watt)
      native-image;                       new;             pgo;                  1;         4.820;  Power (Watt)
      native-image;                       new;             pgo;                  2;         4.790;  Power (Watt)
      native-image;                       new;             pgo;                  3;         5.770;  Power (Watt)
      native-image;                       new;             pgo;                  4;        99.550;  Power (Watt)
      native-image;                       new;             pgo;                  5;       100.670;  Power (Watt)
      native-image;                       new;             pgo;                  6;        97.730;  Power (Watt)
      native-image;                       new;             pgo;                  7;        88.140;  Power (Watt)
      native-image;                       new;             pgo;                  8;       100.930;  Power (Watt)
      native-image;                       new;             pgo;                  9;       107.850;  Power (Watt)
