          Category;                      Type;  Run Identifier;  Sample Identifier;         Score;  Score Metric
     azul-prime-vm;                   virtual;         default;                  4;        96.930;  Power (Watt)
     azul-prime-vm;                   virtual;         default;                  5;       102.240;  Power (Watt)
     azul-prime-vm;                   virtual;         default;                  6;       101.860;  Power (Watt)
     azul-prime-vm;                   virtual;         default;                  7;       105.120;  Power (Watt)
     azul-prime-vm;                   virtual;         default;                  8;        99.600;  Power (Watt)
     azul-prime-vm;                   virtual;         default;                  9;       104.630;  Power (Watt)
     azul-prime-vm;                   virtual;         default;                 10;        86.750;  Power (Watt)
    oracle-graalvm;                  platform;         default;                  1;         4.140;  Power (Watt)
    oracle-graalvm;                  platform;         default;                  2;         1.870;  Power (Watt)
    oracle-graalvm;                  platform;         default;                  3;         7.730;  Power (Watt)
    oracle-graalvm;                  platform;         default;                  4;        83.330;  Power (Watt)
    oracle-graalvm;                  platform;         default;                  5;        91.330;  Power (Watt)
openjdk-hotspot-vm;                   virtual;         default;                  1;         5.140;  Power (Watt)
openjdk-hotspot-vm;                   virtual;         default;                  2;         2.210;  Power (Watt)
openjdk-hotspot-vm;                   virtual;         default;                  3;         7.390;  Power (Watt)
openjdk-hotspot-vm;                   virtual;         default;                  4;       111.840;  Power (Watt)
     azul-prime-vm;                  platform;         default;                  1;         4.110;  Power (Watt)
     azul-prime-vm;                  platform;         default;                  2;         1.920;  Power (Watt)
     azul-prime-vm;                  platform;         default;                  3;         2.200;  Power (Watt)
     azul-prime-vm;                  platform;         default;                  4;        95.510;  Power (Watt)
     azul-prime-vm;                  platform;         default;                  5;       105.940;  Power (Watt)
     azul-prime-vm;                  platform;         default;                  6;       102.830;  Power (Watt)
     azul-prime-vm;                  platform;         default;                  7;       105.160;  Power (Watt)
     azul-prime-vm;                  platform;         default;                  8;       102.430;  Power (Watt)
     azul-prime-vm;                  platform;         default;                  9;        74.050;  Power (Watt)
        graalvm-ce;                   virtual;         default;                  1;         5.240;  Power (Watt)
        graalvm-ce;                   virtual;         default;                  2;         1.830;  Power (Watt)
        graalvm-ce;                   virtual;         default;                  3;         3.120;  Power (Watt)
        graalvm-ce;                   virtual;         default;                  4;        65.630;  Power (Watt)
        graalvm-ce;                   virtual;         default;                  5;        74.000;  Power (Watt)
