Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU iwlwif INT340   SEN3 TCPU_P x86_pk acpitz   SEN2
17:19:24  14.2   0.0   3.9  81.9   0.0    3 192866  18501    3    3    4  46.24    0.00  10.80   3.73  31.70  52.05  20.00  36.05  52.00  52.00  52.00  37.05   0.00
17:19:25  15.1   0.0   3.5  81.5   0.0   19 199616  19049    3    3    4  47.77    0.00  11.17   4.09  32.51  50.05  20.00  36.05  50.00  50.00  51.00  37.05   0.00
17:19:26  14.0   0.0   3.8  82.2   0.0    6 194229  18660    3    3    3  46.42    0.00  10.89   3.86  31.68  50.05  20.00  37.05  49.00  49.00  51.00  37.05   0.00
17:19:27  14.1   0.0   3.5  82.3   0.0    3 196251  18854    3    3    3  47.80    0.00  11.19   4.10  32.51  50.05  20.00  37.05  50.00  50.00  51.00  37.05   0.00
17:19:28  15.0   0.0   3.8  81.2   0.0    4 200189  18492    3    3    3  47.79    0.00  11.29   4.23  32.28  50.05  20.00  37.05  50.00  50.00  51.00  37.05   0.00
17:19:29  14.4   0.0   3.5  82.1   0.0    3 189733  18102    3    3    3  46.15    0.00  10.82   3.78  31.56  50.05  20.00  37.05  50.00  50.00  51.00  37.05   0.00
17:19:30  15.1   0.0   3.5  81.4   0.0    2 193475  17584    3    3    3  46.39    0.00  10.88   3.83  31.68  50.05  20.00  37.05  50.00  50.00  51.00  37.05   0.00
17:19:31  14.6   0.0   3.7  81.7   0.0    5 185554  18158    3    3    3  45.53    0.00  10.63   3.57  31.33  52.05  20.00  37.05  52.00  52.00  51.00  37.05   0.00
17:19:32  14.0   0.0   3.6  82.4   0.0    3 170304  18680    3    3    3  45.17    0.00  10.37   3.26  31.53  52.05  20.00  37.05  52.00  52.00  51.00  37.05   0.00
17:19:33  13.0   0.0   3.2  83.8   0.0    5 175552  17872    1    0    1  44.63    0.00  10.29   3.28  31.06  52.05  20.00  37.05  52.00  52.00  51.00  37.05   0.00
17:19:34  14.0   0.0   3.8  82.1   0.0    1 184337  18402    2    3    2  45.70    0.00  10.58   3.51  31.60  50.05  20.00  37.05  50.00  50.00  51.00  37.05   0.00
17:19:35  14.0   0.0   3.6  82.4   0.0    2 177980  17414    3    3    3  45.78    0.00  10.62   3.66  31.49  50.05  20.00  37.05  50.00  50.00  51.00  37.05   0.00
